operator_id,total_records,incoming_records,outgoing_records,incoming_missed,incoming_answered_durations_sum,incoming_answered_count,outgoing_count,avg_time_to_answer_incoming,incoming_missed_rate,outgoing_rate,flag_high_missed,flag_slow_answer,flag_low_outgoing,ineficaz
895574.0,47,47,0,1,11228,46,0,244.08695652173913,0.02127659574468085,0.0,False,False,True,False
895576.0,40,40,0,1,5519,39,0,141.51282051282053,0.025,0.0,False,False,True,False
895578.0,37,37,0,0,4498,37,0,121.56756756756756,0.0,0.0,False,False,True,False
895598.0,4,2,2,0,64,2,2,32.0,0.0,0.5,False,False,False,False
895774.0,39,6,33,0,2130,6,33,355.0,0.0,0.8461538461538461,False,False,False,False
895776.0,53,10,43,1,602,9,43,66.88888888888889,0.1,0.8113207547169812,False,False,False,False
895782.0,8,8,0,0,487,8,0,60.875,0.0,0.0,False,False,True,False
895786.0,14,14,0,0,2093,14,0,149.5,0.0,0.0,False,False,True,False
896008.0,75,0,75,0,0,0,75,,,1.0,False,False,False,False
896010.0,10,7,3,0,492,7,3,70.28571428571429,0.0,0.3,False,False,True,False
896012.0,62,62,0,1,30201,61,0,495.0983606557377,0.016129032258064516,0.0,False,False,True,False
896014.0,18,12,6,0,955,12,6,79.58333333333333,0.0,0.3333333333333333,False,False,True,False
896016.0,139,29,110,0,4843,29,110,167.0,0.0,0.7913669064748201,False,False,False,False
896018.0,15,8,7,0,260,8,7,32.5,0.0,0.4666666666666667,False,False,False,False
896020.0,3,3,0,0,472,3,0,157.33333333333334,0.0,0.0,False,False,True,False
896382.0,31,11,20,0,3782,11,20,343.8181818181818,0.0,0.6451612903225806,False,False,False,False
896384.0,3,0,3,0,0,0,3,,,1.0,False,False,False,False
896386.0,2,0,2,0,0,0,2,,,1.0,False,False,False,False
896390.0,10,0,10,0,0,0,10,,,1.0,False,False,False,False
896428.0,39,8,31,0,2042,8,31,255.25,0.0,0.7948717948717948,False,False,False,False
896430.0,5,1,4,0,219,1,4,219.0,0.0,0.8,False,False,False,False
896536.0,67,67,0,2,23894,65,0,367.6,0.029850746268656716,0.0,False,False,True,False
896538.0,11,11,0,1,2087,10,0,208.7,0.09090909090909091,0.0,False,False,True,False
